product_id,sku,product_name,category,brand,unit_cost,list_price,is_active,created_at
PROD0001,ELE-HAN-0001,HanseTech Electronics Item 1,Electronics,HanseTech,7.53,12.07,True,2024-06-30
PROD0002,FAS-NOV-0002,Nova Fashion Item 2,Fashion,Nova,32.32,43.67,False,2024-11-05
PROD0003,BOO-BER-0003,Bergmann Books Item 3,Books,Bergmann,177.41,435.69,True,2024-05-16
PROD0004,FAS-BER-0004,Bergmann Fashion Item 4,Fashion,Bergmann,160.6,234.81,True,2024-09-08
PROD0005,BEA-NOV-0005,Nova Beauty Item 5,Beauty,Nova,126.71,281.9,True,2024-08-09
PROD0006,SPO-HAN-0006,HanseTech Sports Item 6,Sports,HanseTech,45.81,60.33,True,2024-04-15
PROD0007,FAS-NOR-0007,Nordlicht Fashion Item 7,Fashion,Nordlicht,67.51,123.36,True,2024-01-19
PROD0008,GAR-MIR-0008,Mira Garden Item 8,Garden,Mira,21.07,32.22,True,2024-11-11
PROD0009,GAR-ALP-0009,Alpenwerk Garden Item 9,Garden,Alpenwerk,58.27,104.1,True,2024-01-19
PROD0010,SPO-ALP-0010,Alpenwerk Sports Item 10,Sports,Alpenwerk,116.97,207.41,True,2024-06-10
PROD0011,BOO-URB-0011,UrbanFox Books Item 11,Books,UrbanFox,82.46,132.39,True,2024-08-29
PROD0012,SPO-BER-0012,Bergmann Sports Item 12,Sports,Bergmann,14.85,33.64,True,2024-11-09
PROD0013,BOO-SOL-0013,Solaro Books Item 13,Books,Solaro,76.86,174.57,True,2024-11-21
PROD0014,TOY-SOL-0014,Solaro Toys Item 14,Toys,Solaro,77.68,153.26,True,2024-04-23
PROD0015,BEA-KLA-0015,Klara Beauty Item 15,Beauty,Klara,56.6,100.92,True,2024-12-05
PROD0016,FAS-ALP-0016,Alpenwerk Fashion Item 16,Fashion,Alpenwerk,171.07,317.54,False,2024-09-28
PROD0017,BEA-MIR-0017,Mira Beauty Item 17,Beauty,Mira,26.21,47.74,False,2024-05-14
PROD0018,BEA-URB-0018,UrbanFox Beauty Item 18,Beauty,UrbanFox,150.8,241.0,True,2024-11-18
PROD0019,HOM-NOV-0019,Nova Home Item 19,Home,Nova,101.92,203.36,True,2024-03-31
PROD0020,GAR-NOR-0020,Nordlicht Garden Item 20,Garden,Nordlicht,142.43,297.84,True,2024-05-22
PROD0021,HOM-NOV-0021,Nova Home Item 21,Home,Nova,30.34,61.13,True,2024-11-01
PROD0022,HOM-BER-0022,Bergmann Home Item 22,Home,Bergmann,141.2,326.28,True,2024-06-29
PROD0023,TOY-HAN-0023,HanseTech Toys Item 23,Toys,HanseTech,71.42,136.09,True,2024-12-03
PROD0024,FAS-HAN-0024,HanseTech Fashion Item 24,Fashion,HanseTech,74.92,156.18,True,2024-05-31
PROD0025,ELE-NOV-0025,Nova Electronics Item 25,Electronics,Nova,160.57,272.57,True,2024-04-23
PROD0026,SPO-GRE-0026,GreenLeaf Sports Item 26,Sports,GreenLeaf,7.56,17.79,True,2024-08-01
PROD0027,GAR-ALP-0027,Alpenwerk Garden Item 27,Garden,Alpenwerk,175.16,272.85,True,2024-05-10
PROD0028,BOO-HAN-0028,HanseTech Books Item 28,Books,HanseTech,132.27,273.37,True,2024-05-10
PROD0029,BEA-NOV-0029,Nova Beauty Item 29,Beauty,Nova,134.41,305.83,True,2024-11-24
PROD0030,FAS-ALP-0030,Alpenwerk Fashion Item 30,Fashion,Alpenwerk,58.76,113.65,True,2024-03-29
PROD0031,ELE-URB-0031,UrbanFox Electronics Item 31,Electronics,UrbanFox,37.93,90.06,True,2024-08-17
PROD0032,ELE-KLA-0032,Klara Electronics Item 32,Electronics,Klara,12.9,22.4,True,2024-06-17
PROD0033,GAR-SOL-0033,Solaro Garden Item 33,Garden,Solaro,73.86,184.37,True,2024-08-21
PROD0034,BOO-KLA-0034,Klara Books Item 34,Books,Klara,108.55,161.71,True,2024-02-26
PROD0035,BOO-GRE-0035,GreenLeaf Books Item 35,Books,GreenLeaf,32.78,80.56,True,2024-01-05
PROD0036,HOM-HAN-0036,HanseTech Home Item 36,Home,HanseTech,8.83,11.63,True,2024-09-04
PROD0037,BEA-MIR-0037,Mira Beauty Item 37,Beauty,Mira,123.27,198.87,True,2024-12-12
PROD0038,ELE-KLA-0038,Klara Electronics Item 38,Electronics,Klara,164.43,349.24,True,2024-12-18
PROD0039,BEA-HAN-0039,HanseTech Beauty Item 39,Beauty,HanseTech,111.07,280.24,True,2024-01-28
